make,model,trim,mileage,price,year,month
Audi,A6,2.0T Premium Plus,46718,26000,2017,july
Kia,Sorento,LX,43113,16900,2016,july
Hyundai,Santa Fe,SE,15963,20700,2018,july
Mazda,CX-5,Sport,30306,17900,2016,july
Chevrolet,Traverse,LS,25831,22000,2017,july
Mitsubishi,Outlander,SE,37328,17400,2017,july
Honda,Accord,Sport SE,16227,21200,2017,july
Chevrolet,Camaro,SS,5026,30100,2015,july
Chrysler,300,300S,29735,20600,2016,july
GMC,Terrain,SLE,17266,21800,2018,july
Hyundai,Sonata,Sonata,31843,14600,2016,july
Ford,Edge,SE,42823,20700,2016,july
Ford,Mustang,GT 50 Years Limited Editi...,4876,38500,2015,july
Ford,Mustang,EcoBoost Premium,31549,22000,2018,july
Cadillac,ATS,3.6L Performance,44410,23300,2015,july
Toyota,Tacoma Double Cab,SR5 5 ft,17834,28500,2016,july
Buick,Encore,Preferred II,23750,18700,2017,july
Honda,CR-V,LX,41650,18600,2016,july
GMC,Terrain,SLT,20289,19800,2017,july
Dodge,Challenger,SXT,19775,21200,2018,july
INFINITI,QX50,QX50,40874,21900,2017,july
Jeep,Grand Cherokee,SRT,20984,47800,2015,july
BMW,3 Series,340i xDrive,9738,42100,2018,july
BMW,3 Series,330e iPerformance,24320,32100,2018,july
Honda,CR-V,LX,33716,18400,2016,july
Dodge,Durango,SXT,8136,28000,2018,july
Kia,Optima,EX,30608,15900,2016,july
GMC,Acadia,Denali,36720,28700,2016,july
Honda,Accord,EX,17593,19800,2016,july
Chevrolet,Equinox,LT,24090,20800,2018,july
Ford,Explorer,XLT,48031,22600,2017,july
Ford,Mustang,EcoBoost Premium,20939,23800,2018,july
Honda,Civic,EX,21172,17300,2016,july
Jeep,Compass,High Altitude Edition,16123,18700,2016,july
Chevrolet,Equinox,Premier,23066,19900,2017,july
Honda,Civic,EX-T,25145,17300,2016,july
Toyota,Tacoma Double Cab,TRD Sport 5 ft,27411,29200,2016,july
Lexus,ES,ES 350,18590,26300,2016,july
Jeep,Renegade,Latitude,4636,18500,2018,july
Honda,Accord,EX-L,6856,27300,2018,july
Nissan,Murano,Platinum,10570,29400,2018,july
Chevrolet,Malibu,LS,15538,17300,2018,july
Chevrolet,Malibu,LT,17923,16700,2018,july
Ram,1500 Crew Cab,Laramie 5 1/2 ft,20022,30000,2017,july
Honda,Civic,Si,6784,22300,2018,july
BMW,3 Series,330e iPerformance,11216,36100,2018,july
Nissan,Rogue,S,44661,17200,2016,july
Mercedes-Ben...,E-Class,E 350 4MATIC,44478,24100,2014,july
Honda,Accord,Sport,19484,19300,2016,july
Dodge,Challenger,R/T,26479,27400,2015,july
Ford,Edge,SEL,36342,20300,2016,july
Honda,Accord,Sport,18268,21000,2016,july
Honda,CR-V,EX-L,1916,30900,2018,july
Nissan,Sentra,SR,4751,17300,2018,july
Hyundai,Sonata,Sonata,8382,16900,2016,july
Mazda,CX-5,Grand Touring,36030,22500,2016,july
Honda,CR-V,Touring,23140,25200,2016,july
Jeep,Renegade,Altitude,8021,20600,2018,july
Toyota,Corolla,LE,30681,14800,2016,july
BMW,5 Series,535i xDrive,27598,31800,2016,july
GMC,Sierra 1500 Crew ...,SLT 5 3/4 ft,9686,41500,2017,july
Jeep,Renegade,Altitude,8718,20600,2018,july
Volkswagen,Passat,1.8T SE,21699,17000,2016,july
Volkswagen,Passat,2.0T SEL Premium,18672,21800,2018,july
Audi,A6,3.0T Premium Plus,43800,29300,2016,july
Ram,1500 Crew Cab,Big Horn 5 1/2 ft,11094,31200,2017,july
Ford,Mustang,GT,4683,32000,2015,july
Kia,Soul,Soul,38267,13300,2016,july
Dodge,Challenger,SXT,1776,24300,2015,july
Toyota,RAV4,XLE,36876,20200,2017,july
Chevrolet,Camaro,SS,14745,39300,2018,july
Chevrolet,Equinox,LT,13652,23700,2018,july
Audi,S5,Premium Plus,5107,51000,2018,july
Hyundai,Sonata,Limited,16823,19400,2016,july
Kia,K900,Luxury,29927,25500,2016,july
Ford,C-MAX Hybrid,SEL,40895,15300,2016,july
Jeep,Cherokee,Limited,19281,24600,2016,july
Honda,CR-V,EX-L,295,29200,2018,july
Volkswagen,Tiguan Limited,2.0T 4Motion,10247,19700,2018,july
Jeep,Wrangler,Unlimited Sport,884,33800,2016,july
Chevrolet,Corvette,Stingray Z51,11806,48400,2015,july
Jeep,Grand Cherokee,Limited,42531,25800,2017,july
Honda,CR-V,EX,33709,20500,2016,july
Mercedes-Ben...,GLE,GLE 350,9964,44600,2018,july
Volkswagen,Golf SportWagen,TSI S,26042,16800,2017,july
Mercedes-Ben...,GLE,GLE 350,9402,44700,2018,july
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,8307,33500,2018,july
Mercedes-Ben...,GLE,GLE 350,10548,44400,2018,july
Kia,Sorento,SX,21229,26100,2016,july
Toyota,Camry,LE,38547,16600,2017,july
Ford,Mustang,EcoBoost,11398,22800,2016,july
Toyota,4Runner,TRD Off-Road,8011,47500,2018,july
INFINITI,QX30,Essential (2018.5),12111,27300,2018,july
Honda,Civic,EX-L,31597,19000,2016,july
Hyundai,Elantra,SE,5858,16000,2018,july
Buick,Enclave,Essence,13760,37200,2019,july
Hyundai,Sonata,Sonata,12669,16100,2017,july
Lincoln,MKZ,Reserve,11553,27500,2017,july
MINI,Countryman,Cooper S,11633,29500,2017,july
Ram,1500 Crew Cab,Big Horn 5 1/2 ft,22955,30700,2016,july
Toyota,Sequoia,SR5,18616,39400,2018,july
Toyota,Camry,LE,23953,15800,2013,july
Chrysler,300,300S,30182,22700,2018,july
Ford,Mustang,GT Premium,27904,26500,2014,july
Chevrolet,Equinox,LS,19230,19100,2017,july
Ford,Escape,Titanium,36767,19200,2016,july
Honda,Civic,LX,33797,19400,2018,july
Toyota,RAV4,XLE,35312,19500,2016,july
Toyota,RAV4,XLE,23143,20500,2016,july
Dodge,Journey,SE,31181,18600,2017,july
Hyundai,Accent,SE,15719,14600,2018,july
Chevrolet,Cruze,LT,10399,15500,2017,july
Chevrolet,Cruze,LT,14149,15400,2018,july
Kia,Sorento,SX,29004,27100,2017,july
Ford,Focus,SE,22329,14500,2018,july
Dodge,Journey,Crossroad,34287,19300,2016,july
Chevrolet,Equinox,LT,25429,17000,2015,july
Hyundai,Sonata,SEL,7008,19200,2018,july
Hyundai,Sonata,Sport,46022,17400,2015,july
Jeep,Cherokee,Latitude,12816,20400,2016,july
Lincoln,MKX,Reserve,27401,32200,2018,july
Chevrolet,Equinox,Premier,34100,19700,2017,july
Nissan,Maxima,SV,28049,21100,2016,july
Hyundai,Elantra,SE,10220,15400,2017,july
Mazda,MX-5 Miata,Grand Touring,10976,19300,2012,july
Kia,Optima Plug-in Hy...,EX,6152,25700,2018,july
Mazda,MAZDA3,Sport,4991,19000,2018,july
Nissan,Murano,SV,6898,29900,2018,july
INFINITI,QX50,QX50,14775,24800,2016,july
Ford,Taurus,Limited,38548,18900,2018,july
Lincoln,MKZ,Reserve,15460,25400,2017,july
Volkswagen,Jetta,1.4T S,11737,15300,2017,july
Hyundai,Elantra,SE,29010,14200,2017,july
Chevrolet,Trax,LS,13290,16000,2016,july
Cadillac,SRX,Luxury Collection,28075,28900,2016,july
Jeep,Grand Cherokee,High Altitude,19862,35000,2016,july
