make,model,trim,mileage,price,year,month
Jeep,Cherokee,Sport,25016,20200,2017,august
Hyundai,Elantra,SE,25134,14300,2017,august
Audi,A6,3.0T Premium Plus,60199,21800,2014,august
Volkswagen,Passat,1.8T SE,51272,15800,2016,august
Kia,Sorento,LX,12949,19300,2017,august
Chevrolet,Impala,LS,61134,15900,2017,august
Chevrolet,Camaro,LT,13265,19400,2012,august
Audi,A5,Premium Plus,9522,25300,2014,august
Jeep,Compass,High Altitude Edition,28580,16200,2016,august
Ford,Edge,SEL,32888,21100,2015,august
Chevrolet,Volt,Volt,39175,15500,2014,august
Audi,A3,2.0T Premium Plus,43492,21800,2016,august
Cadillac,SRX,Premium Collection,76880,22700,2015,august
Subaru,Outback,2.5i Limited,20304,27400,2017,august
Honda,Pilot,EX-L,65989,22700,2013,august
BMW,4 Series,430i xDrive Gran,35366,28900,2017,august
Dodge,Charger,R/T,39810,26200,2017,august
Chevrolet,Camaro,LT,5146,21900,2013,august
Mazda,CX-5,Grand Touring,25943,23400,2016,august
Hyundai,Elantra,SE,21089,14400,2017,august
Jeep,Cherokee,Limited,36621,22200,2016,august
Toyota,Corolla,LE,14126,16300,2016,august
Hyundai,Sonata,Sport,22751,15800,2016,august
Toyota,Corolla,LE,6250,15800,2016,august
Jeep,Cherokee,Latitude,48150,17200,2016,august
Nissan,Murano,SV,3459,27300,2015,august
Hyundai,Elantra,SE,30822,14300,2017,august
Hyundai,Elantra,SE,26442,15100,2017,august
Hyundai,Elantra,SE,26076,14100,2017,august
Nissan,Sentra,SV,25769,14600,2018,august
Nissan,Pathfinder,S,2689,28400,2018,august
Chrysler,200,Limited Platinum,16939,17600,2017,august
Honda,Accord,EX-L,19624,26400,2018,august
Jeep,Compass,High Altitude Edition,30139,16600,2016,august
Nissan,Altima,2.5 S,7774,19300,2018,august
Toyota,Tacoma Double Cab,5 ft,50501,29500,2013,august
Jeep,Cherokee,Limited,53572,21700,2019,august
Hyundai,Elantra,SE,24404,14300,2017,august
Kia,Forte,LX,7828,14400,2017,august
BMW,5 Series,528i xDrive,37924,25400,2016,august
Kia,Optima,LX,26180,14600,2016,august
Ford,Escape,Titanium,12148,20600,2017,august
Jeep,Grand Cherokee,Limited,47077,23600,2015,august
Chevrolet,Equinox,Premier,51176,21600,2018,august
Chevrolet,Equinox,Premier,32698,23600,2018,august
Kia,Forte,EX,30488,14100,2016,august
Ford,F150 Super Cab,XL 6 1/2 ft,16386,27600,2017,august
Buick,Encore,Encore,31605,15200,2016,august
Hyundai,Elantra,SE,29033,14000,2017,august
Kia,Sorento,SX,54285,24500,2017,august
Jaguar,XF,XF Portfolio,74046,21700,2015,august
Ford,Focus,SE,20377,14600,2018,august
Kia,Forte,LX,9735,16000,2018,august
Jeep,Compass,High Altitude Edition,16630,17600,2016,august
Mazda,MAZDA3,Grand Touring,25167,19400,2017,august
MINI,Countryman,Cooper S ALL4,8315,29200,2017,august
Chevrolet,Cruze,LT,9711,15600,2017,august
Chevrolet,Impala,Premier,37220,19800,2018,august
BMW,i3,i3,23766,26800,2017,august
Cadillac,SRX,Luxury Collection,25672,25100,2016,august
Chevrolet,Sonic,LT Hatchback,9562,12000,2015,august
Jeep,Grand Cherokee,Limited,41040,24000,2015,august
Honda,Accord,EX-L,12245,27900,2018,august
Jeep,Compass,Sport,27113,17300,2016,august
Chevrolet,Spark,LS,8187,14400,2018,august
BMW,2 Series,228i,2890,29000,2016,august
Chrysler,300,300S,33697,22600,2018,august
Dodge,Charger,SXT,58275,18000,2013,august
smart,fortwo,Prime Hatchback,29258,12400,2016,august
Nissan,Sentra,SV,47200,13200,2017,august
Toyota,Corolla,LE,6779,16800,2017,august
Honda,CR-V,EX,52592,17900,2014,august
Volkswagen,Passat,TDI SE,58373,14700,2015,august
Hyundai,Sonata,SE,22602,14500,2015,august
Lexus,RX,RX 350,94161,16600,2010,august
Toyota,Camry,LE,29947,17100,2017,august
Toyota,RAV4,Limited,28428,22100,2015,august
Honda,CR-V,Touring,35885,23300,2016,august
Hyundai,Sonata,SE,29322,15600,2016,august
Toyota,4Runner,SR5,72161,26700,2015,august
INFINITI,QX60,3.5,29860,26300,2015,august
Audi,Q5,2.0T Premium Plus,45710,25000,2016,august
Toyota,Camry,LE,50749,16800,2016,august
Kia,Soul,Soul,15261,15600,2018,august
Chevrolet,Cruze,LS,11558,16500,2018,august
Hyundai,Tucson,SE,15400,18600,2017,august
Ford,C-MAX Energi,SEL,31229,14800,2016,august
Volkswagen,Tiguan,2.0T S,28893,16000,2016,august
Volkswagen,Jetta,1.8T Sport,47037,14500,2016,august
Ford,Escape,Titanium,29340,16400,2013,august
Volkswagen,Jetta,1.8T Sport,31475,16100,2016,august
Ford,C-MAX Energi,SEL,30707,14800,2016,august
Honda,Accord,LX,7028,23400,2019,august
Honda,Civic,LX,22476,15500,2015,august
Chevrolet,Equinox,LS,55330,16000,2016,august
Ford,Taurus,Limited,34178,18100,2018,august
Nissan,Altima,2.5 SR,39733,15500,2016,august
Jeep,Grand Cherokee,Overland,54303,25400,2014,august
Chevrolet,Silverado 1500 Do...,Z71 LT 6 1/2 ft,48471,25700,2016,august
Volkswagen,Tiguan,2.0T S 4Motion,10253,18900,2017,august
Ford,Focus,SE,4424,14500,2016,august
Lincoln,MKC,Select,56249,21300,2017,august
Volkswagen,Passat,1.8T SE,21251,18500,2017,august
BMW,X3,xDrive28i,46526,28100,2017,august
Hyundai,Elantra,SE,31884,14000,2017,august
Chevrolet,Cruze,LT,35850,14400,2018,august
Nissan,Altima,2.5 S,28516,16900,2017,august
Nissan,Sentra,SV,46030,13700,2017,august
Hyundai,Elantra,SE,13403,14300,2017,august
Honda,Civic,LX,23227,17400,2017,august
Chevrolet,Cruze,LS,9724,15500,2018,august
Subaru,Legacy,2.5i Premium,23794,18300,2016,august
Buick,Encore,Encore,38520,15800,2016,august
Ford,Mustang,GT,43439,25800,2017,august
Jeep,Cherokee,Limited,19161,22300,2016,august
Buick,Encore,Encore,20373,16800,2016,august
Hyundai,Elantra,Eco,22446,14500,2017,august
Ford,Escape,SE,44073,17300,2017,august
Nissan,Sentra,SR,44730,13700,2016,august
Toyota,Camry,Hybrid LE,14140,21400,2016,august
Subaru,Forester,2.5i,31669,19500,2016,august
Audi,A6,TDI Premium Plus,34976,29200,2016,august
Toyota,Corolla,LE,14636,16000,2018,august
Toyota,Tacoma Double Cab,SR5 5 ft,30906,26600,2016,august
Mitsubishi,Outlander Sport,ES,56794,12500,2014,august
Ford,Edge,SEL,29737,20900,2016,august
Acura,MDX,SH-AWD,51110,26800,2015,august
BMW,5 Series,535i xDrive,60308,26500,2016,august
Honda,CR-V,EX-L,36917,21200,2016,august
Kia,Soul,Soul,19612,15300,2018,august
Dodge,Journey,SXT,11209,20400,2018,august
Toyota,Highlander,Limited,48751,28800,2015,august
Toyota,4Runner,SR5,37829,28200,2018,august
Hyundai,Elantra,SE,31326,14400,2017,august
Toyota,Avalon,XLE Premium,66515,16800,2015,august
Ram,1500 Crew Cab,Laramie 5 1/2 ft,73962,28000,2015,august
Nissan,LEAF,SV,38697,11800,2015,august
Jeep,Cherokee,Limited,48898,19000,2014,august
Hyundai,Genesis,3.8,23341,22600,2016,august
Hyundai,Elantra,SE,22885,14900,2017,august
Mercedes-Ben...,C-Class,C 300 4MATIC,28717,24400,2015,august
Acura,RDX,RDX,47373,24900,2017,august
Lincoln,MKC,Select,43440,21100,2016,august
Buick,Encore,Premium,17281,20100,2016,august
Kia,Optima,LX,26406,15100,2016,august
Audi,Q5,2.0T Premium,32448,27100,2017,august
Subaru,Outback,2.5i Limited,78140,22600,2017,august
Honda,CR-V,EX-L,77388,17300,2013,august
Honda,HR-V,LX,14013,17900,2017,august
Nissan,Pathfinder,SV,48543,19400,2017,august
Nissan,Sentra,S,11096,15400,2018,august
Toyota,Corolla,LE,13227,16700,2017,august
GMC,Sierra 1500 Crew ...,SLE 5 3/4 ft,26553,26700,2013,august
Nissan,Rogue,S,12134,17200,2016,august
Ford,Focus,SEL,17584,16500,2018,august
Toyota,Corolla,L,13028,15600,2016,august
Hyundai,Tucson,Limited,30811,19300,2016,august
Mitsubishi,Outlander Sport,SE,12945,18900,2018,august
Jeep,Compass,Latitude,34283,16300,2016,august
Chevrolet,Volt,LT,37533,17900,2016,august
Acura,TLX,3.5,36134,22700,2016,august
Kia,Sorento,EX,26594,21100,2017,august
Toyota,Corolla,LE,23780,15300,2017,august
Ford,Escape,SEL,22504,19600,2018,august
Ford,Focus,SE,26601,13500,2017,august
Honda,HR-V,EX,17208,21500,2018,august
Ford,Fiesta,SE,10126,13400,2018,august
Toyota,Sienna,XLE,47288,28700,2015,august
Jeep,Grand Cherokee,Laredo E,10769,29100,2018,august
BMW,3 Series,328i xDrive,41594,19700,2014,august
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,46017,26800,2016,august
Toyota,RAV4,XLE,19548,20900,2016,august
Kia,Soul,Soul,19670,13500,2016,august
Chevrolet,Colorado Crew Cab,LT 5 ft,21901,25600,2018,august
Mazda,MX-5 Miata,Special Edition,20085,19800,2012,august
Chevrolet,Cruze,LS,15880,15300,2017,august
Nissan,LEAF,S,41548,12100,2015,august
Honda,Accord,EX,15611,23800,2018,august
Honda,CR-V,EX-L,48305,18300,2013,august
Lincoln,MKZ,MKZ,30715,20900,2016,august
Ford,Edge,Sport,31940,28600,2018,august
Honda,CR-V,EX,48893,18600,2015,august
Jeep,Cherokee,Limited,45099,20700,2016,august
Mazda,MX-5 Miata,Grand Touring,27308,23400,2018,august
Jeep,Compass,High Altitude Edition,26910,17500,2016,august
Buick,Verano,Verano,6323,15600,2016,august
Audi,Q5,2.0T Premium Plus,40276,25300,2016,august
Subaru,Outback,2.5i Limited,21653,25400,2016,august
Chevrolet,Traverse,LS,38989,19000,2016,august
GMC,Terrain,SLE-2,15548,21000,2017,august
Honda,Civic,EX-T,14614,18600,2016,august
Honda,Civic,EX-T,43572,17600,2016,august
BMW,3 Series,328i xDrive,29731,25800,2016,august
Nissan,Versa,SV,18886,13300,2017,august
Audi,A3,2.0T Premium,22604,21200,2016,august
Jeep,Compass,High Altitude Edition,17411,17600,2016,august
Subaru,Forester,2.5i Premium,25590,23200,2017,august
Honda,CR-V,EX-L,49621,18600,2014,august
Ford,Focus,Titanium,29612,14300,2015,august
Kia,Sorento,SX,64546,24100,2017,august
Mazda,CX-5,Touring,25039,20500,2016,august
Hyundai,Equus,Signature,70719,19700,2014,august
Toyota,Tacoma Double Cab,SR 5 ft,10959,26800,2018,august
Chevrolet,Malibu,LS,32504,13500,2015,august
Jeep,Cherokee,Sport,19849,18600,2017,august
Toyota,Tacoma Access Cab,SR 6 ft,18664,24700,2017,august
Chrysler,200,Limited,27519,14400,2016,august
Ford,F150 Super Cab,STX 6 1/2 ft,39633,22400,2014,august
Jeep,Compass,High Altitude Edition,16799,16700,2016,august
Hyundai,Sonata,SE,22401,14700,2017,august
Subaru,Forester,2.5i,3897,23700,2018,august
Jeep,Cherokee,Altitude,15129,18100,2016,august
Dodge,Grand Caravan Pas...,AVP,13532,17800,2016,august
Honda,CR-V,EX,30090,20400,2016,august
Ford,F150 Super Cab,XL 6 1/2 ft,8747,29200,2017,august
Buick,Verano,Verano,15494,15400,2016,august
Ford,Mustang,Boss 302,62780,28200,2012,august
Jeep,Renegade,Altitude,20684,18500,2018,august
Jeep,Grand Cherokee,Overland,76293,23900,2015,august
Nissan,Frontier Crew Cab,SV 5 ft,34993,24100,2016,august
Buick,Encore,Encore,39692,15700,2016,august
Ford,F150 SuperCrew Ca...,XLT 5 1/2 ft,88959,22800,2012,august
Toyota,Camry,SE,41352,20000,2018,august
Lexus,NX,200t,29706,27100,2016,august
Nissan,Altima,2.5 S,62177,13800,2015,august
Subaru,Forester,2.5i Premium,66271,19900,2017,august
Acura,TLX,2.4,28837,21700,2016,august
Honda,Civic,EX,54842,16800,2016,august
Toyota,RAV4,XLE,11949,21700,2016,august
Honda,CR-V,EX,14147,21100,2014,august
Honda,Civic,EX,33543,17100,2016,august
Honda,CR-V,LX,35731,18900,2016,august
Subaru,WRX,WRX Limited,25249,28000,2018,august
Audi,A4,Premium Plus,78084,16700,2014,august
Ford,Edge,Titanium,51434,21800,2016,august
Dodge,Charger,SXT,26561,23300,2018,august
Acura,TLX,3.5,20464,21500,2015,august
Nissan,Pathfinder,S,47513,22000,2017,august
Subaru,Impreza,2.0i Sport,12089,23500,2018,august
Ford,Expedition EL,Limited,74936,27600,2015,august
Chevrolet,Camaro,LT,30527,21100,2016,august
Volkswagen,Jetta,1.8T Sport,36021,15400,2016,august
Chevrolet,Equinox,LT,62443,16000,2017,august
Hyundai,Sonata,SE,30379,14600,2016,august
Toyota,Prius Prime,Plus,255,26900,2018,august
Ford,Explorer,Limited,43418,28800,2016,august
Lexus,ES,ES 350,41811,24500,2016,august
Subaru,Outback,2.5i,35008,22200,2018,august
Honda,CR-V,EX,36489,19800,2016,august
Ford,Fiesta,SE,36088,12100,2018,august
BMW,X3,xDrive28i,34371,26900,2017,august
Buick,Regal,Regal,14123,16800,2015,august
Mazda,MX-5 Miata,Grand Touring,16972,19300,2013,august
Ford,Mustang,GT,46861,26200,2015,august
Honda,CR-V,EX-L,36391,19400,2014,august
Honda,Odyssey,Touring,69652,25600,2015,august
Ford,Fusion Energi,Plug-In Hybrid Titanium,21024,18300,2016,august
Honda,Accord,LX,41417,16400,2016,august
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,37411,28600,2015,august
Toyota,Prius Prime,Plus,27380,24700,2017,august
Mazda,CX-5,Sport,48096,16800,2016,august
Ford,Focus,SE,23666,13100,2017,august
BMW,3 Series,320i xDrive,28879,23700,2017,august
GMC,Acadia,SLE-2,49618,24800,2017,august
GMC,Terrain,Denali,33103,22700,2017,august
Honda,CR-V,LX,60085,15500,2014,august
Chevrolet,Camaro,LT,10765,20400,2014,august
Subaru,Outback,2.5i Premium,20685,24500,2017,august
Volkswagen,CC,2.0T Sport,33424,18000,2016,august
Toyota,Corolla,LE,8656,17300,2018,august
Cadillac,XT5,Luxury,32286,29500,2017,august
Mazda,CX-5,Touring,36060,20200,2018,august
Ford,Fusion,SE Hybrid,62375,14500,2016,august
Chevrolet,Camaro,SS,55830,24500,2015,august
Toyota,Highlander,LE Plus,28455,28000,2016,august
Toyota,Corolla,L,21382,14700,2016,august
Subaru,Outback,2.5i Limited,38214,23600,2016,august
Ford,F150 Super Cab,XL 6 1/2 ft,16268,28800,2017,august
Ford,F150 Regular Cab,XL 8 ft,26293,21800,2016,august
Mazda,CX-5,Sport,39447,17200,2016,august
Nissan,Frontier Crew Cab,SV 5 ft,18729,23800,2015,august
Chrysler,Town & Country,Touring,50323,20300,2016,august
Ford,F150 SuperCrew Ca...,XLT 5 1/2 ft,28309,28400,2014,august
Hyundai,Genesis,3.8,22838,23000,2016,august
Ford,Fusion,SE Hybrid,50263,15100,2017,august
Hyundai,Veloster,Value Edition,28514,16500,2017,august
Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,32833,28800,2015,august
GMC,Terrain,SLT-1,100658,15900,2015,august
Buick,Encore,Premium,34676,16700,2014,august
Kia,Optima,LX,35356,14700,2016,august
INFINITI,Q50,3.0t SPORT,14008,28800,2018,august
Mazda,CX-5,Touring,42602,17000,2016,august
Toyota,Tacoma Double Cab,PreRunner 5 ft,54744,23900,2012,august
Ford,Mustang,EcoBoost,20313,21700,2015,august
Jeep,Wrangler,Unlimited Sahara,54114,29100,2014,august
Volkswagen,Golf SportWagen,TSI S 4Motion,6322,19500,2017,august
Ford,Mustang,EcoBoost Premium,12723,21900,2015,august
Kia,Sorento,LX,39604,19000,2016,august
Nissan,LEAF,SV,23720,14700,2015,august
Buick,Regal,Sport Touring,15897,18800,2017,august
Toyota,Sienna,SE,33161,28100,2018,august
Subaru,XV Crosstrek,Limited,51378,17800,2013,august
Honda,CR-V,LX,33141,16600,2014,august
Chevrolet,Sonic,LT,32979,14000,2017,august
Honda,Civic,EX-T,19046,18800,2016,august
Toyota,Tacoma Double Cab,SR 5 ft,23713,26900,2018,august
Honda,Civic,EX-T,26103,19500,2017,august
GMC,Sierra 1500 Crew ...,SLE 5 3/4 ft,62100,27900,2014,august
Jeep,Grand Cherokee,Limited,35821,25200,2018,august
Nissan,Pathfinder,Platinum,13604,28300,2017,august
Buick,Encore,Convenience,25044,17100,2016,august
Jeep,Cherokee,Limited,28585,20900,2016,august
Nissan,Rogue,SV,16320,21100,2018,august
Dodge,Durango,Limited,90444,19000,2014,august
Jeep,Compass,High Altitude Edition,15074,17100,2016,august
Kia,Soul,Soul,15525,14800,2017,august
Toyota,Camry,SE,11643,19400,2017,august
Toyota,Tacoma Double Cab,SR 5 ft,7775,28000,2018,august
Hyundai,Elantra,SE,44360,13900,2017,august
Ram,1500 Crew Cab,Express 5 1/2 ft,50846,23500,2016,august
Jeep,Compass,High Altitude Edition,35784,16300,2016,august
Chevrolet,Traverse,LS,28699,19800,2016,august
Chevrolet,Equinox,LS,31936,16000,2016,august
Audi,A3,Premium,22741,22000,2017,august
Jeep,Compass,High Altitude Edition,14419,17200,2016,august
Honda,Fit,Sport,61502,12100,2012,august
Buick,Regal,Regal,57174,15300,2015,august
Toyota,Avalon,XLE,34010,20000,2018,august
Toyota,Highlander,LE,29656,27200,2016,august
Jeep,Grand Cherokee,Limited,48321,24300,2015,august
Nissan,Pathfinder,SV,30914,27000,2016,august
Mazda,CX-5,Touring,17755,19500,2016,august
Jeep,Compass,High Altitude Edition,25088,15800,2016,august
Jeep,Compass,High Altitude Edition,45145,15600,2016,august
Nissan,Pathfinder,SL,35388,24500,2016,august
Jeep,Cherokee,Limited,33268,20000,2016,august
Kia,Sorento,LX,19660,18000,2017,august
Toyota,Corolla,LE,11944,17000,2019,august
Toyota,Corolla,LE,13353,16700,2018,august
Ford,F150 Regular Cab,XL 6 1/2 ft,8357,22600,2016,august
Chevrolet,Camaro,SS,17898,25300,2012,august
BMW,X1,xDrive28i,19376,28700,2017,august
Jeep,Grand Cherokee,Limited,30009,26400,2016,august
Mazda,CX-3,Grand Touring,20306,19700,2016,august
Hyundai,Elantra,SE,46366,13800,2017,august
Kia,Sorento,L,43995,15600,2016,august
Nissan,Frontier Crew Cab,SV 5 ft,33238,22000,2016,august
Nissan,Versa,SV,40911,12400,2017,august
Hyundai,Santa Fe Sport,Santa Fe Sport,31367,17500,2018,august
INFINITI,QX70,3.7,79948,21400,2014,august
Nissan,Murano,SV,82745,15200,2014,august
Toyota,Corolla,L,29191,16100,2016,august
Hyundai,Genesis Coupe,3.8 Ultimate,33552,22600,2016,august
Subaru,Outback,2.5i Limited,62580,24600,2017,august
Honda,CR-V,EX-L,52421,17600,2013,august
Hyundai,Elantra,SE,13345,13800,2017,august
Ford,Focus,SE,11288,13400,2016,august
Subaru,WRX,WRX Premium,41380,24100,2017,august
Toyota,Corolla,LE,29028,14900,2017,august
Toyota,Sienna,XLE,44686,25200,2016,august
Ford,Escape,S,8863,17500,2017,august
Dodge,Durango,Citadel,42559,28000,2015,august
Ford,Escape,SE,45901,15500,2017,august
Volkswagen,Tiguan Limited,2.0T,12522,19000,2017,august
Jeep,Grand Cherokee,Laredo,43213,22500,2017,august
Jeep,Compass,Latitude,27490,15700,2016,august
Volkswagen,Tiguan Limited,2.0T 4Motion,10461,18300,2017,august
Hyundai,Elantra,Limited,44590,14300,2017,august
Hyundai,Elantra,SE,25624,13700,2017,august
Kia,Cadenza,Premium,33674,17200,2015,august
Mercedes-Ben...,GLK-Class,GLK 350 4MATIC,40295,24100,2015,august
Hyundai,Sonata,SE,31509,15100,2016,august
Chevrolet,Cruze,LS,25858,15400,2017,august
Toyota,RAV4,XLE,27242,20100,2016,august
Toyota,RAV4,XLE,25232,20500,2016,august
Ram,1500 Crew Cab,Tradesman 5 1/2 ft,5517,27500,2018,august
Acura,TLX,2.4,21841,21700,2016,august
Mazda,CX-5,Touring,42164,17800,2014,august
Nissan,Pathfinder,SV,63477,17700,2015,august
Jeep,Renegade,Latitude,4256,20800,2018,august
Nissan,Altima,2.5 S,52737,14100,2015,august
Mercedes-Ben...,C-Class,C 300 4MATIC,30494,28000,2017,august
Jeep,Grand Cherokee,Laredo,60007,20800,2015,august
Jeep,Wrangler,Unlimited Sport,77589,24600,2012,august
Ford,Taurus,SEL,21271,18700,2018,august
Lincoln,MKC,Select,14829,27300,2018,august
Chevrolet,Camaro,LT,43038,19200,2015,august
Honda,Accord,Sport,24658,22900,2018,august
Ford,Focus,SEL,14125,15900,2018,august
Ford,Mustang,Boss 302,102762,25100,2013,august
Ford,Mustang,EcoBoost,30550,19500,2016,august
Chevrolet,Trax,LTZ,26354,16200,2016,august
Ford,Mustang,EcoBoost,34468,20800,2016,august
Toyota,Tacoma Double Cab,SR5 5 ft,23945,26800,2016,august
Kia,Rio,S,31385,13100,2018,august
Jeep,Renegade,Latitude,18280,16700,2016,august
Mitsubishi,Outlander Sport,ES,19919,15700,2017,august
Lincoln,MKX,MKX,53390,21500,2013,august
Honda,Accord,EX,22220,18700,2016,august
Mazda,CX-5,Grand Touring,42277,20600,2016,august
Subaru,XV Crosstrek,Limited,31932,21100,2015,august
Volkswagen,Jetta,1.8T Sport,21465,16100,2017,august
Honda,Accord,EX,34408,16800,2013,august
Ford,Explorer,Limited,55602,27100,2016,august
Mercedes-Ben...,M-Class,ML 350 4MATIC,40303,26000,2014,august
Ford,Flex,Limited,66787,23100,2016,august
Honda,Civic,LX,35214,16000,2016,august
Ford,Fusion,Titanium,33005,18300,2015,august
Dodge,Grand Caravan Pas...,SXT,43499,16400,2016,august
BMW,X1,sDrive28i,40429,25600,2017,august
Jeep,Renegade,Latitude,7509,19000,2018,august
Toyota,4Runner,SR5,78284,26000,2014,august
Audi,A6,2.0T Premium Plus,34265,27000,2017,august
Jeep,Compass,Latitude,26025,15700,2016,august
Subaru,Outback,2.5i,30162,21400,2016,august
Toyota,Camry,L,29182,20000,2018,august
Ford,F150 SuperCrew Ca...,XL 5 1/2 ft,65338,26300,2015,august
Honda,CR-V,EX-L,60922,19600,2014,august
Dodge,Challenger,R/T,46780,22400,2014,august
Jeep,Cherokee,Latitude,9145,20200,2016,august
Jeep,Grand Cherokee,Limited,40976,26400,2016,august
Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,37411,27600,2016,august
Toyota,Corolla,LE,5813,16600,2017,august
Hyundai,Tucson,SE,46568,16100,2016,august
Jeep,Compass,High Altitude Edition,28122,15900,2016,august
Nissan,Rogue,SV,34509,17300,2016,august
Jeep,Cherokee,Altitude,26035,19000,2016,august
Lincoln,MKZ,Hybrid,36077,19300,2016,august
Ford,Edge,SE,49183,17600,2016,august
Toyota,Corolla,LE,37983,14400,2016,august
Honda,Accord,EX-L,66309,17400,2013,august
Mazda,CX-5,Sport,35118,15200,2016,august
Chevrolet,Suburban 1500,LTZ,97464,25700,2011,august
Jeep,Wrangler,Sport,5462,28500,2016,august
Toyota,Prius Prime,Plus,16237,26000,2017,august
GMC,Acadia,SLE-2,32024,24900,2017,august
Hyundai,Sonata,Sonata,18047,15800,2017,august
Toyota,Camry,SE,43420,14900,2016,august
Nissan,Frontier Crew Cab,SV 5 ft,6601,24700,2018,august
Volkswagen,Golf GTI,S Hatchback,20544,20300,2016,august
Nissan,Sentra,SV,45600,13100,2017,august
Acura,RDX,RDX,26413,27000,2017,august
Jeep,Cherokee,High Altitude,36865,22800,2016,august
Acura,TLX,3.5,54926,19600,2016,august
Nissan,Maxima,SL,33180,21900,2016,august
Toyota,RAV4,LE,48180,17800,2016,august
Ram,1500 Quad Cab,Tradesman 6 1/3 ft,8733,26400,2018,august
Mazda,MX-5 Miata,Grand Touring,13576,22200,2016,august
Honda,CR-V,EX,36770,18000,2016,august
Mazda,CX-5,Sport,32006,18400,2016,august
Honda,Civic,EX-L,14605,19400,2016,august
Jeep,Grand Cherokee,Laredo,16852,26400,2018,august
Honda,Accord,Sport,19967,24400,2018,august
Jeep,Cherokee,High Altitude,27819,20200,2016,august
Toyota,Venza,XLE,82804,17100,2013,august
FIAT,124 Spider,Classica,3065,23200,2017,august
Ford,F150 SuperCrew Ca...,Platinum 5 1/2 ft,33374,28700,2013,august
Honda,Civic,Si,17324,22200,2018,august
Acura,RDX,RDX,20772,27600,2017,august
Mazda,CX-3,Sport,7013,18300,2017,august
Nissan,Altima,2.5,56998,15200,2016,august
Ford,Escape,SE,39821,16600,2017,august
Volkswagen,Passat,1.8T SE,54876,15400,2017,august
Hyundai,Santa Fe,Limited,48854,22200,2015,august
Chevrolet,Volt,Volt,48103,14700,2015,august
Chevrolet,Cruze,LT,18386,14500,2017,august
Buick,Encore,Leather,12993,19200,2016,august
Nissan,Altima,2.5 SL,41005,16800,2016,august
Jeep,Compass,High Altitude Edition,16637,16900,2016,august
Honda,Accord,EX-L,40344,19300,2016,august
Ram,1500 Quad Cab,Express 6 1/3 ft,9537,26300,2018,august
Chevrolet,Silverado 1500 Do...,LS 6 1/2 ft,37275,22400,2016,august
Volkswagen,Passat,1.8T SE,41050,15900,2016,august
Jeep,Cherokee,Limited,15884,22300,2016,august
Chevrolet,Spark EV,2LT,22281,10800,2016,august
Toyota,Camry,SE,39374,20000,2018,august
Nissan,Sentra,SL,25775,14600,2016,august
Honda,CR-V,EX-L,10473,28700,2018,august
Chevrolet,Traverse,LT,36237,21400,2016,august
Toyota,Corolla,LE,14724,14800,2016,august
Hyundai,Elantra,SE,32177,13300,2017,august
Volkswagen,Passat,1.8T SE,59963,14500,2016,august
Jeep,Patriot,Latitude,23278,16800,2016,august
Nissan,Frontier Crew Cab,SV 5 ft,4007,26200,2018,august
Jeep,Cherokee,Limited,41919,19700,2015,august
Jeep,Cherokee,Latitude,23920,18000,2016,august
Mazda,CX-5,Grand Touring,35338,20300,2016,august
Jeep,Patriot,Latitude,24543,16500,2016,august
Dodge,Challenger,R/T,13049,26800,2016,august
Lexus,ES,ES 350,45560,23300,2016,august
Jeep,Wrangler,Sport,21411,26700,2015,august
Dodge,Challenger,R/T Plus,27510,26000,2016,august
Chevrolet,Camaro,SS,29942,28000,2015,august
Chrysler,200,200S,17038,15600,2016,august
Nissan,Sentra,SV,45064,14100,2017,august
Cadillac,ATS,2.0L Turbo Luxury,45282,19000,2014,august
Ford,Mustang,EcoBoost Premium,17340,21900,2015,august
Mazda,MAZDA3,Grand Touring,21005,18500,2016,august
Toyota,RAV4,XLE,30221,18900,2016,august
Hyundai,Elantra,SE,33011,13900,2017,august
Nissan,LEAF,SL,4016,28500,2018,august
Hyundai,Elantra,SE,12868,14900,2017,august
Jeep,Cherokee,Limited,10999,19200,2016,august
Ford,Escape,S,14707,17400,2018,august
Jeep,Cherokee,Overland,9521,26300,2016,august
Hyundai,Sonata,Sport,29074,17500,2016,august
Ford,Edge,SE,36482,21900,2015,august
Ford,Fusion,Titanium,21750,18500,2018,august
BMW,X1,xDrive28i,46441,25000,2016,august
Volkswagen,Tiguan Limited,2.0T 4Motion,7132,18800,2017,august
Honda,CR-V,LX,17544,22200,2018,august
Kia,Forte,LX,22541,13300,2018,august
Honda,CR-V,Touring,63276,19300,2015,august
Toyota,Corolla,S Plus,21872,16100,2016,august
Chevrolet,Trax,LS,4106,16500,2017,august
Honda,Civic,Si,5848,24300,2018,august
Mercedes-Ben...,M-Class,ML 350 4MATIC,96540,20200,2012,august
Dodge,Challenger,R/T,21722,26600,2016,august
Jaguar,XK,XK,73993,24000,2010,august
Dodge,Charger,SXT,86304,19400,2015,august
Audi,A6,2.0T Premium Plus,41495,27800,2017,august
GMC,Terrain,SLE-2,20871,18700,2017,august
Dodge,Challenger,R/T Plus,27156,27100,2015,august
