,Make,Model,trim,Mileage,Price
0,2016 Ford,Escape,S,"49,343 miles","14,700"
0,2016 FIAT,500X,Trekking,"18,402 miles","15,600"
0,2016 Chevrolet,Spark EV,1LT,"31,475 miles","10,800"
0,2015 Kia,Soul,Soul,"34,445 miles","13,200"
0,2017 Kia,Optima,LX,"10,319 miles","16,400"
0,2016 Land Rover,Range Rover Evoqu...,SE,"44,498 miles","27,700"
0,2017 Jeep,Renegade,Latitude,"13,420 miles","17,800"
0,2016 Honda,Civic,LX,"25,722 miles","16,500"
0,2017 Hyundai,Sonata,Sport,"38,226 miles","16,100"
0,2016 Hyundai,Sonata,Sonata,"43,024 miles","14,900"
0,2017 Hyundai,Elantra,SE,"21,535 miles","14,500"
0,2016 Volkswagen,Jetta,1.4T S,"30,479 miles","13,900"
0,2018 Nissan,Versa,SV,"32,268 miles","12,700"
0,2018 Chevrolet,Equinox,LT,"35,757 miles","21,500"
0,2018 Jeep,Renegade,Sport,"9,885 miles","19,300"
0,2018 Honda,Civic,LX,"14,927 miles","18,500"
0,2016 Honda,Pilot,EX-L,"69,486 miles","24,900"
0,2015 Jeep,Grand Cherokee,Limited,"36,129 miles","26,000"
0,2015 Audi,A4,Premium Plus,"39,401 miles","20,400"
0,2014 Chevrolet,Traverse,LT,"62,541 miles","18,400"
0,2016 Nissan,Altima,2.5 SL,"43,244 miles","16,500"
0,2016 Honda,Accord,EX,"55,973 miles","17,000"
0,2016 Ford,Escape,S,"49,343 miles","14,700"
0,2016 FIAT,500X,Trekking,"18,402 miles","15,600"
0,2016 Chevrolet,Spark EV,1LT,"31,475 miles","10,800"
0,2015 Kia,Soul,Soul,"34,445 miles","13,200"
0,2017 Kia,Optima,LX,"10,319 miles","16,400"
0,2016 Land Rover,Range Rover Evoqu...,SE,"44,498 miles","27,700"
0,2017 Jeep,Renegade,Latitude,"13,420 miles","17,800"
0,2016 Honda,Civic,LX,"25,722 miles","16,500"
0,2017 Hyundai,Sonata,Sport,"38,226 miles","16,100"
0,2016 Hyundai,Sonata,Sonata,"43,024 miles","14,900"
0,2017 Hyundai,Elantra,SE,"21,535 miles","14,500"
0,2016 Volkswagen,Jetta,1.4T S,"30,479 miles","13,900"
0,2017 Nissan,Altima,2.5 SR,"52,169 miles","15,100"
0,2016 Hyundai,Sonata,Sonata,"19,241 miles","16,600"
0,2017 Hyundai,Sonata,Sport,"20,938 miles","17,300"
0,2016 Kia,Soul,Soul,"27,988 miles","13,800"
0,2017 Nissan,Sentra,SV,"47,958 miles","13,700"
0,2016 Buick,Verano,Verano,"20,920 miles","15,100"
0,2016 Hyundai,Elantra,Sport,"30,157 miles","14,400"
0,2017 Hyundai,Elantra,SE,"45,051 miles","14,000"
0,2016 Mazda,MAZDA6,i Touring,"43,263 miles","17,700"
0,2016 Kia,Optima,LX,"30,606 miles","14,900"
0,2016 Hyundai,Sonata,Sport,"23,914 miles","16,400"
0,2017 Hyundai,Elantra,SE,"35,389 miles","14,100"
0,2017 Hyundai,Elantra,SE,"10,933 miles","15,100"
0,2018 Chevrolet,Malibu,LS,"28,093 miles","16,000"
0,2016 Hyundai,Sonata,Sonata,"28,636 miles","15,800"
0,2016 Kia,Sorento,SX,"29,822 miles","25,700"
0,2016 Ford,Escape,Titanium,"20,745 miles","18,800"
0,2015 Hyundai,Sonata,Sport,"45,715 miles","14,500"
0,2017 Hyundai,Elantra,SE,"46,096 miles","13,800"
0,2017 Ford,Escape,SE,"68,260 miles","15,200"
0,2016 Lincoln,MKC,Select,"40,742 miles","22,400"
0,2016 Buick,Encore,Encore,"28,730 miles","15,000"
0,2017 Subaru,Outback,2.5i Premium,"63,584 miles","20,400"
0,2017 Subaru,Outback,2.5i Limited,"42,069 miles","26,600"
0,2012 GMC,Acadia,Denali,"103,213 miles","18,100"
0,2017 Nissan,Pathfinder,SV,"47,963 miles","19,500"
0,2016 Hyundai,Sonata,Sport,"26,252 miles","16,300"
0,2017 Hyundai,Elantra,SE,"23,229 miles","14,800"
0,2012 Acura,TSX,TSX,"78,750 miles","15,800"
0,2018 Toyota,Sienna,XLE,"39,811 miles","29,500"
0,2016 Jeep,Compass,Latitude,"27,087 miles","16,600"
0,2018 Chevrolet,Impala,Premier,"36,301 miles","20,300"
0,2015 Audi,Q5,2.0T Premium,"30,724 miles","24,200"
0,2016 Audi,A6,2.0T Premium,"22,674 miles","25,800"
0,2015 Audi,A6,2.0T Premium,"41,861 miles","22,000"
0,2013 GMC,Acadia,Denali,"51,652 miles","24,600"
0,2017 Hyundai,Sonata,Sport,"42,488 miles","15,800"
0,2012 Honda,CR-V,EX-L,"79,220 miles","16,800"
0,2016 Kia,Forte Koup,EX,"17,788 miles","14,800"
0,2016 Volkswagen,Tiguan,2.0T S 4Motion,"32,591 miles","16,500"
0,2017 Hyundai,Elantra,SE,"34,172 miles","14,200"
0,2016 Ford,Fusion Energi,Plug-In Hybrid Titanium,"18,996 miles","19,500"
0,2018 Ford,Escape,SE,"43,311 miles","15,800"
0,2015 Honda,CR-V,Touring,"25,613 miles","23,700"
0,2017 Subaru,Outback,2.5i Premium,"63,584 miles","20,400"
0,2017 Subaru,Outback,2.5i Limited,"42,069 miles","26,600"
0,2012 GMC,Acadia,Denali,"103,213 miles","18,100"
0,2017 Nissan,Pathfinder,SV,"47,963 miles","19,500"
0,2016 Hyundai,Sonata,Sport,"26,252 miles","16,300"
0,2017 Hyundai,Elantra,SE,"23,229 miles","14,800"
0,2012 Acura,TSX,TSX,"78,750 miles","15,800"
0,2018 Toyota,Sienna,XLE,"39,811 miles","29,500"
0,2016 Jeep,Compass,Latitude,"27,087 miles","16,600"
