Make,Model,trim,Mileage,Price
2018 Mercedes-Ben...,C-Class,C 300 4MATIC,"18,306 miles","31,500"
2015 INFINITI,Q50,3.7 Premium,"42,040 miles","20,700"
2016 INFINITI,QX50,QX50,"25,730 miles","22,700"
2018 Honda,Civic,EX,"4,392 miles","20,400"
2017 Chevrolet,Traverse,LS,"60,141 miles","20,600"
2017 Chevrolet,Traverse,LT,"53,742 miles","21,400"
2016 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"21,661 miles","31,100"
2017 Chevrolet,Equinox,Premier,"20,760 miles","19,600"
2017 Chevrolet,Traverse,LS,"22,689 miles","22,800"
2018 Chevrolet,Malibu,LS,"11,977 miles","17,700"
2017 Hyundai,Elantra,SE,"14,351 miles","16,900"
2017 Hyundai,Elantra,SE Value Edition,"8,915 miles","17,200"
2016 Hyundai,Tucson,Sport,"20,845 miles","21,300"
2016 Acura,MDX,MDX,"44,700 miles","27,600"
2015 INFINITI,Q50,3.7 Premium,"27,091 miles","22,300"
2017 Chevrolet,Camaro,LT,"16,180 miles","25,300"
2016 Nissan,Rogue,SL,"15,817 miles","20,100"
2018 Chevrolet,Impala,LT,"32,689 miles","17,900"
2018 Honda,Accord,Touring,"3,262 miles","32,400"
2016 Subaru,Legacy,2.5i Premium,"15,351 miles","17,900"
2015 Buick,Encore,Leather,"20,458 miles","17,200"
2016 Toyota,Highlander,XLE,"27,084 miles","28,900"
2016 Nissan,Altima,2.5 S,"24,541 miles","14,600"
2016 Mazda,CX-5,Touring,"18,317 miles","20,400"
2016 Mazda,CX-5,Sport,"30,219 miles","18,500"
2018 Ford,Mustang,EcoBoost Premium,"42,036 miles","20,500"
2018 Dodge,Journey,SE,"10,094 miles","17,300"
2015 INFINITI,Q50,3.7 Premium,"27,814 miles","21,500"
2017 Chevrolet,Camaro,LT,"20,280 miles","22,800"
2016 INFINITI,QX50,QX50,"32,423 miles","22,600"
2018 Dodge,Charger,SXT,"17,096 miles","23,400"
2017 Kia,Sorento,LX,"31,226 miles","17,200"
2017 Honda,CR-V,LX,"9,790 miles","25,000"
2018 Ford,Mustang,EcoBoost,"39,226 miles","21,200"
2016 Toyota,Highlander,LE,"46,058 miles","25,400"
2018 INFINITI,Q50,2.0t LUXE,"19,667 miles","25,600"
2017 Mazda,MAZDA3,Sport,"21,212 miles","16,700"
2014 Honda,CR-V,LX,"46,778 miles","16,300"
2015 Buick,Encore,Convenience,"17,399 miles","15,600"
2016 INFINITI,QX50,QX50,"34,065 miles","23,000"
2018 Chevrolet,Impala,Premier,"38,837 miles","21,300"
2018 Mercedes-Ben...,C-Class,C 300 4MATIC,"21,552 miles","31,000"
2016 Lexus,RX,RX 350,"15,411 miles","35,600"
2016 BMW,5 Series,550i xDrive,"27,797 miles","36,100"
2017 Dodge,Journey,SE,"11,303 miles","18,900"
2016 Audi,A6,2.0T Premium,"33,610 miles","25,400"
2015 Dodge,Charger,SXT,"32,794 miles","21,700"
2018 INFINITI,Q50,2.0t LUXE,"20,853 miles","24,500"
2018 Jeep,Grand Cherokee,Limited,"31,826 miles","28,600"
2015 Dodge,Durango,SXT,"38,557 miles","22,900"
2013 Hyundai,Santa Fe,Limited,"43,736 miles","19,100"
2016 FIAT,500e,500e,"16,975 miles","11,300"
2016 GMC,Terrain,SLE-1,"22,849 miles","18,900"
2018 INFINITI,Q50,2.0t LUXE,"9,136 miles","25,400"
2016 Cadillac,ATS,2.0L Turbo Luxury,"61,794 miles","20,100"
2017 Chevrolet,Traverse,LS,"31,070 miles","22,300"
2017 Chevrolet,Silverado 1500 Do...,LT 6 1/2 ft,"11,279 miles","28,600"
2018 Ford,Edge,SEL,"16,100 miles","24,600"
2018 INFINITI,Q50,2.0t LUXE,"8,261 miles","27,900"
2018 Honda,Civic,LX,"1,798 miles","19,200"
2016 Honda,Accord,EX-L,"30,213 miles","21,500"
2017 Dodge,Grand Caravan Pas...,SE,"27,711 miles","17,300"
2016 Nissan,Pathfinder,S,"59,309 miles","21,000"
2017 Jeep,Grand Cherokee,Laredo,"40,445 miles","22,800"
2017 Chevrolet,Traverse,LS,"28,156 miles","22,100"
2017 Chevrolet,Traverse,LS,"31,786 miles","21,600"
2015 Mazda,CX-5,Touring,"90,386 miles","14,400"
2016 BMW,5 Series,550i xDrive,"50,871 miles","34,000"
2016 Mazda,CX-5,Touring,"31,846 miles","18,800"
2018 Chevrolet,Silverado 1500 Cr...,LT 5 3/4 ft,"7,763 miles","33,600"
2018 Kia,Forte,LX,"12,774 miles","14,400"
2018 BMW,3 Series,340i xDrive,"10,004 miles","42,900"
2016 Dodge,Challenger,R/T Scat Pack,"7,388 miles","36,000"
2017 Chevrolet,Cruze,LS,"18,041 miles","13,900"
2018 Honda,Accord,LX,"1,647 miles","21,900"
2017 Audi,A6,2.0T Premium Plus,"46,718 miles","26,000"
