Make,Model,trim,Mileage,Price
2018 Hyundai,Elantra,SEL,"21,875 miles","14,300"
2016 Jeep,Cherokee,Limited,"28,094 miles","19,800"
2016 Kia,Sorento,LX,"64,422 miles","16,000"
2016 Cadillac,SRX,Premium Collection,"46,590 miles","24,700"
2012 Ford,Mustang,Boss 302,"32,538 miles","28,800"
2018 Dodge,Journey,SXT,"3,964 miles","20,100"
2018 Volkswagen,Jetta,1.4T S,"16,347 miles","14,800"
2018 Chevrolet,Tahoe,Premier,"35,922 miles","40,800"
2017 Subaru,WRX,WRX,"12,529 miles","24,600"
2015 Chevrolet,Colorado Extended...,LT 6 ft,"22,352 miles","23,800"
2016 Cadillac,SRX,Luxury Collection,"21,022 miles","28,600"
2013 Hyundai,Veloster,Veloster,"87,679 miles","9,900"
2011 Volkswagen,Jetta,TDI SportWagen Sport,"40,838 miles","12,000"
2018 Honda,Clarity Plug-in H...,Clarity Plug-in Hybrid,"9,373 miles","25,000"
2016 Mercedes-Ben...,E-Class,E 350 4MATIC,"29,233 miles","26,700"
2015 Toyota,Highlander,XLE,"66,902 miles","24,100"
2013 Audi,A4,Premium,"73,270 miles","14,400"
2015 Hyundai,Santa Fe,GLS,"83,295 miles","16,500"
2018 Dodge,Journey,SXT,"21,094 miles","16,400"
2016 Toyota,Corolla,LE,"59,203 miles","12,900"
2013 Dodge,Challenger,R/T,"17,223 miles","23,600"
2018 Kia,Forte,LX,"24,472 miles","13,900"
2015 Chevrolet,Impala Limited,LTZ,"28,317 miles","15,200"
2016 Kia,Optima,LX,"22,929 miles","14,600"
2015 Kia,Optima Hybrid,Optima Hybrid,"56,247 miles","13,100"
2015 Lexus,CT,CT 200h,"37,257 miles","17,300"
2012 Chevrolet,Impala,LT,"88,806 miles","8,700"
2013 Hyundai,Genesis Coupe,3.8 Grand Touring,"12,488 miles","21,500"
2016 Jeep,Cherokee,Limited,"40,257 miles","21,700"
2012 Honda,CR-V,EX-L,"71,464 miles","15,400"
2017 Ram,1500 Quad Cab,Laramie 6 1/3 ft,"20,551 miles","30,000"
2018 Ford,Mustang,EcoBoost Premium,"29,890 miles","21,800"
2012 Ford,Mustang,Premium,"48,333 miles","14,200"
2016 Honda,Civic,EX-L,"25,142 miles","19,200"
2018 Dodge,Grand Caravan Pas...,SE Plus,"33,729 miles","16,700"
2018 Kia,Niro,LX,"9,797 miles","19,400"
2016 Hyundai,Tucson,Sport,"26,021 miles","17,700"
2016 Jaguar,XF,XF 3.5t Prestige,"25,907 miles","28,700"
2016 Jeep,Grand Cherokee,Overland,"22,760 miles","31,200"
2015 Hyundai,Genesis Coupe,3.8,"52,221 miles","19,200"
2018 Chevrolet,Impala,LT,"37,234 miles","17,900"
2018 Nissan,Armada,SL,"43,204 miles","31,300"
2016 Jeep,Cherokee,Limited,"35,994 miles","20,600"
2015 Nissan,JUKE,SV,"39,988 miles","16,400"
2018 Honda,Accord,LX,"4,190 miles","21,200"
2018 Ford,Mustang,EcoBoost,"9,940 miles","24,600"
2015 Subaru,Impreza,2.0i,"18,161 miles","16,600"
2016 Chevrolet,Volt,LT,"42,375 miles","16,300"
2016 Lincoln,MKC,Select,"28,431 miles","21,100"
2016 Hyundai,Tucson,Sport,"23,077 miles","19,200"
2018 Hyundai,Sonata,Sport,"14,272 miles","18,900"
2013 Lexus,ES,ES 300h,"58,386 miles","20,000"
2018 Kia,Sportage,LX,"23,230 miles","16,700"
2018 INFINITI,QX80,QX80,"18,199 miles","46,900"
2018 Dodge,Grand Caravan Pas...,SXT,"30,877 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"30,573 miles","15,700"
2016 Jeep,Wrangler,Unlimited Sahara,"20,204 miles","30,200"
2017 Nissan,JUKE,SV,"23,422 miles","18,500"
2018 Kia,Soul,+,"12,677 miles","15,800"
2017 Honda,Civic,EX,"1,274 miles","19,900"
2016 BMW,5 Series,528i xDrive,"22,467 miles","27,900"
2017 Chevrolet,Malibu,LS,"6,792 miles","17,300"
2016 Honda,CR-V,Touring,"34,066 miles","23,000"
2017 Dodge,Grand Caravan Pas...,GT,"44,331 miles","17,100"
2017 Volvo,S60,T6 R-Design Platinum,"25,897 miles","26,900"
2016 Nissan,Sentra,SV,"20,552 miles","13,200"
2017 Nissan,Versa,SV,"42,250 miles","12,300"
2015 Chevrolet,Equinox,LTZ,"68,972 miles","17,100"
2016 Ford,Taurus,SEL,"22,472 miles","16,000"
2017 Jeep,Compass,Latitude,"47,180 miles","16,400"
2016 Buick,Encore,Encore,"13,432 miles","16,100"
2016 Toyota,Corolla,LE,"35,428 miles","14,500"
2015 Lexus,ES,ES 350,"41,758 miles","21,800"
2016 Ford,Mustang,GT Premium,"5,410 miles","31,100"
2017 Nissan,Versa,S Plus,"22,034 miles","12,100"
2016 Subaru,Forester,2.5i,"31,688 miles","18,500"
2018 GMC,Yukon,SLT,"38,032 miles","40,800"
2016 Hyundai,Tucson,Sport,"22,490 miles","18,100"
2016 Land Rover,LR4,HSE,"25,521 miles","43,700"
2016 Lexus,RX,RX 350,"26,585 miles","32,300"
2016 Mercedes-Ben...,GLE,GLE 350 4MATIC,"46,656 miles","29,600"
2016 Nissan,Altima,2.5 SL,"36,370 miles","16,600"
2016 BMW,5 Series,535i xDrive,"34,888 miles","27,700"
2011 Volkswagen,Golf,TDI,"52,876 miles","12,300"
2017 Buick,Encore,Preferred II,"14,491 miles","18,000"
2018 Jeep,Compass,Sport,"12,967 miles","18,300"
2016 Nissan,Altima,2.5 SL,"6,219 miles","19,100"
2012 MINI,Countryman,Cooper S,"64,241 miles","13,200"
2018 Dodge,Grand Caravan Pas...,SE Plus,"37,355 miles","16,800"
2018 Ford,Explorer,Limited,"38,869 miles","27,400"
2016 Hyundai,Genesis,3.8,"19,913 miles","23,700"
2016 Kia,Sorento,LX,"38,665 miles","15,700"
2018 Volkswagen,Jetta,1.4T S,"35,880 miles","14,000"
2018 Nissan,Versa,SV,"43,302 miles","11,900"
2016 Buick,Cascada,Premium,"5,972 miles","24,000"
2016 Mercedes-Ben...,C-Class,C 300,"28,230 miles","22,500"
2018 Ford,Mustang,EcoBoost,"34,462 miles","20,300"
2017 Buick,Encore,Preferred II,"12,289 miles","17,500"
2016 Subaru,Legacy,2.5i Limited,"58,900 miles","18,200"
2017 Ford,Flex,Limited,"38,594 miles","23,600"
2018 Chevrolet,Equinox,LT,"27,658 miles","19,400"
2016 Chevrolet,Traverse,LS,"52,392 miles","17,400"
2016 Kia,Optima,LX,"14,008 miles","15,400"
2018 Ford,Mustang,EcoBoost Premium,"34,581 miles","20,900"
2017 Kia,Optima,LX,"24,700 miles","15,400"
2016 Jeep,Patriot,Sport,"67,651 miles","12,200"
2018 Chevrolet,Malibu,LT,"21,060 miles","16,300"
2016 Lexus,CT,CT 200h,"47,004 miles","17,600"
2018 INFINITI,Q50,3.0t LUXE,"30,493 miles","23,500"
2015 Lincoln,MKZ,Hybrid,"42,471 miles","17,600"
2018 Nissan,LEAF,SV,"6,230 miles","23,900"
2018 Ford,Mustang,EcoBoost Premium,"33,881 miles","21,700"
2017 Hyundai,Elantra,SE,"12,537 miles","13,400"
2017 Acura,MDX,SH-AWD,"64,897 miles","27,800"
2015 Nissan,Sentra,SV,"17,633 miles","12,700"
2016 Chevrolet,Trax,LS,"23,081 miles","13,700"
2017 Acura,MDX,SH-AWD,"52,747 miles","37,200"
2016 Lincoln,MKZ,Hybrid,"41,802 miles","19,300"
2017 Jeep,Cherokee,Sport,"64,954 miles","14,700"
2016 Kia,K900,Luxury,"39,971 miles","23,500"
2018 Dodge,Grand Caravan Pas...,SE Plus,"35,711 miles","16,500"
2018 Ford,Mustang,EcoBoost Premium,"35,169 miles","20,400"
2018 INFINITI,Q50,2.0t LUXE,"17,505 miles","24,800"
2015 Buick,Verano,Convenience,"60,279 miles","12,600"
2016 Nissan,Altima,2.5 SV,"20,375 miles","14,900"
2015 Chrysler,200,200C,"55,755 miles","15,400"
2017 Chevrolet,Volt,LT,"36,975 miles","17,100"
2018 Jeep,Renegade,Latitude,"15,414 miles","17,600"
2018 Ford,Taurus,Limited,"36,669 miles","18,000"
2017 Hyundai,Elantra,Limited,"30,883 miles","15,300"
2016 Chevrolet,Impala,LT,"38,256 miles","17,200"
2016 Lincoln,MKC,Select,"39,405 miles","19,500"
2015 Chevrolet,Camaro,SS,"6,122 miles","28,700"
2018 Chevrolet,Tahoe,LT,"16,735 miles","42,800"
2017 GMC,Terrain,SLE-2,"28,589 miles","17,600"
2017 Nissan,Sentra,SV,"16,297 miles","13,800"
2015 Nissan,Sentra,SV,"34,450 miles","12,400"
2014 Jeep,Wrangler,Unlimited Rubicon,"23,997 miles","32,100"
2016 Audi,A4,Premium,"35,131 miles","19,700"
2018 Dodge,Grand Caravan Pas...,SXT,"28,859 miles","17,900"
2018 Ford,Mustang,EcoBoost Premium,"27,823 miles","23,100"
2018 Kia,Forte,S,"17,654 miles","14,600"
2018 Dodge,Grand Caravan Pas...,SE,"33,948 miles","16,700"
2017 Volkswagen,Tiguan,2.0T Wolfsburg Edition 4M...,"34,803 miles","17,900"
2017 GMC,Terrain,SLE-2,"21,441 miles","18,200"
2018 Volkswagen,Jetta,1.4T S,"36,366 miles","13,800"
2018 Nissan,Maxima,SV,"37,750 miles","19,200"
2018 Dodge,Journey,GT,"15,913 miles","20,300"
2018 Ford,Mustang,EcoBoost Premium,"33,296 miles","21,100"
2017 Ford,Focus,SEL,"27,700 miles","14,200"
2017 Nissan,Rogue,SL,"51,636 miles","18,700"
2012 Volkswagen,Jetta,2.0L,"77,359 miles","7,900"
2016 Chevrolet,Malibu,LT,"47,387 miles","14,500"
2016 Kia,Forte,EX,"4,976 miles","14,300"
2017 Chevrolet,Silverado 1500 Cr...,Work Truck 5 3/4 ft,"10,738 miles","27,500"
2016 Hyundai,Sonata,SE,"13,174 miles","14,700"
2018 Dodge,Charger,R/T Scat Pack,"9,152 miles","36,900"
2018 Dodge,Grand Caravan Pas...,SXT,"32,650 miles","17,800"
2018 Hyundai,Tucson,SEL,"21,312 miles","17,300"
2015 BMW,3 Series,335i Gran Turismo xDrive,"43,632 miles","23,300"
2016 Ford,Flex,Limited,"63,548 miles","20,800"
2017 Chevrolet,Camaro,LT,56 miles,"31,400"
2015 Subaru,XV Crosstrek,Limited,"22,445 miles","21,100"
2017 Acura,RDX,RDX,"23,815 miles","27,000"
2017 Dodge,Grand Caravan Pas...,GT,"41,604 miles","18,000"
2016 BMW,i3,Range Extender,"48,174 miles","20,000"
2017 Kia,Sportage,LX,"39,267 miles","15,200"
2011 Chevrolet,Silverado 1500 Cr...,Hybrid 5 3/4 ft,"12,537 miles","24,100"
2015 BMW,X1,xDrive28i,"50,996 miles","19,000"
2018 GMC,Acadia,SLE-2,"17,379 miles","27,000"
2016 Volkswagen,e-Golf,SE Hatchback,"35,835 miles","13,200"
2016 Chevrolet,Malibu,LT,"32,956 miles","15,400"
2016 Nissan,Rogue,SV,"36,225 miles","16,000"
2015 Nissan,Altima,2.5 SL,"64,610 miles","13,900"
2012 Honda,CR-V,EX-L,"69,559 miles","15,600"
2016 Honda,Accord,EX-L,"27,127 miles","20,700"
2016 Dodge,Challenger,SXT,"7,455 miles","22,800"
2018 Dodge,Grand Caravan Pas...,SE,"31,090 miles","17,600"
2016 Hyundai,Tucson,Sport,"33,335 miles","16,800"
2017 Nissan,Rogue Sport,SV,"22,921 miles","16,500"
2016 Nissan,LEAF,S-24,"33,559 miles","11,700"
2016 Buick,Enclave,Convenience,"31,649 miles","20,300"
2016 Honda,Accord,LX,"27,800 miles","16,100"
2015 Mazda,MAZDA3,i Sport,"36,989 miles","14,000"
2015 Buick,Encore,Encore,"53,093 miles","13,700"
2018 Volkswagen,Beetle,2.0T S,"11,460 miles","21,300"
2018 Nissan,Murano,SL,"8,257 miles","28,800"
2015 Nissan,Sentra,SR,"29,934 miles","13,000"
2014 Honda,Accord,Sport,"87,481 miles","13,600"
2016 Mazda,MAZDA6,i Grand Touring,"42,387 miles","19,400"
2016 Mazda,CX-5,Touring,"27,844 miles","19,100"
2017 Ford,Fusion,Sport,"66,813 miles","17,200"
2012 BMW,3 Series,328i,"43,140 miles","17,100"
2017 Nissan,Altima,2.5 SL,"56,926 miles","14,700"
2017 Mercedes-Ben...,Mercedes-AMG C-Cl...,C 63 AMG,"34,160 miles","41,200"
2018 Ford,Edge,SE,50 miles,"24,800"
2018 Ford,Explorer,XLT,"18,866 miles","28,800"
2015 GMC,Acadia,SLE-1,"76,076 miles","16,600"
2017 Nissan,JUKE,SV,"32,763 miles","16,900"
2015 Subaru,Legacy,2.5i Limited,"69,834 miles","16,200"
2017 Dodge,Journey,SXT,"23,254 miles","16,600"
2018 Volkswagen,Jetta,1.4T S,"31,560 miles","14,200"
2016 Chrysler,200,Limited,"23,675 miles","14,600"
2015 Ford,Focus,Electric,"17,816 miles","12,700"
2017 Dodge,Journey,SE,"31,714 miles","15,300"
2018 Buick,Encore,Essence,"41,193 miles","18,200"
2018 GMC,Yukon,SLT,"33,201 miles","41,000"
2014 Honda,CR-V,LX,"63,827 miles","15,100"
2017 Jeep,Cherokee,TrailHawk,"27,589 miles","24,400"
2016 Cadillac,ATS,2.0L Turbo Luxury,"38,941 miles","21,700"
2014 Cadillac,CTS,3.6,"44,540 miles","19,200"
2018 Dodge,Grand Caravan Pas...,SE,"33,581 miles","17,700"
2016 Honda,Accord,Sport,"46,772 miles","17,500"
2017 Honda,Accord,LX,"27,162 miles","16,500"
2016 Kia,Sorento,LX,"49,291 miles","16,600"
2012 Hyundai,Sonata,Limited,"75,715 miles","12,900"
2014 Nissan,Altima,2.5 SV,"34,614 miles","13,400"
2017 GMC,Terrain,SLE-2,"22,183 miles","18,000"
2015 Chevrolet,Cruze,LTZ,"65,442 miles","12,200"
2016 INFINITI,Q50,Red Sport 400,"38,807 miles","28,900"
2015 Subaru,XV Crosstrek,Hybrid Touring,"38,106 miles","19,400"
2015 Kia,Optima,LX,"40,474 miles","13,300"
2011 Ram,1500 Regular Cab,Sport 6 1/3 ft,"59,919 miles","17,600"
2018 Chevrolet,Equinox,LT,"21,360 miles","19,500"
2016 Mazda,CX-5,Touring,"24,475 miles","18,800"
2016 Volkswagen,Tiguan,2.0T S,"8,057 miles","15,800"
2010 MINI,Hardtop,Cooper S,"75,094 miles","10,600"
2016 Toyota,RAV4,LE,"27,029 miles","17,800"
2016 Lexus,GS,GS 350,"28,943 miles","29,300"
2016 Jeep,Compass,Latitude,"43,752 miles","15,000"
2015 Hyundai,Genesis,5,"41,570 miles","24,000"
2016 Chevrolet,Trax,LT,"21,365 miles","15,300"
2018 Ford,Mustang,EcoBoost Premium,"33,841 miles","21,500"
2016 Mazda,MAZDA6,i Sport,"11,757 miles","17,000"
2017 Kia,Sorento,L,"20,707 miles","17,200"
2016 Toyota,RAV4,LE,"32,989 miles","17,500"
2016 Dodge,Journey,R/T,"17,815 miles","18,300"
2014 Subaru,Outback,2.5i Premium,"83,674 miles","15,200"
2018 Hyundai,Elantra,SEL,"15,391 miles","14,600"
2011 Audi,TT,Quattro Premium Plus,"54,146 miles","17,100"
2017 Toyota,Corolla,SE,"22,940 miles","15,800"
2016 Mazda,MAZDA6,i Touring,"45,245 miles","16,500"
2015 Nissan,Pathfinder,Platinum,"78,054 miles","20,000"
2015 Volkswagen,Golf,S Hatchback,"37,100 miles","14,400"
2018 Hyundai,Elantra,SE,"12,463 miles","14,300"
2015 Lincoln,MKZ,MKZ,"23,036 miles","17,600"
2016 Mercedes-Ben...,CLS-Class,CLS 550 4MATIC,"45,303 miles","41,900"
2010 Kia,Forte,EX,"38,443 miles","8,300"
2016 Mazda,CX-5,Grand Touring,"18,288 miles","22,900"
2015 Dodge,Charger,SXT,"35,667 miles","19,600"
2016 Kia,Optima,LX,"64,457 miles","12,700"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
2017 Dodge,Charger,SE,"34,164 miles","18,500"
2016 GMC,Terrain,SLE-1,"28,855 miles","17,800"
2016 Jeep,Patriot,High Altitude Edition,"38,288 miles","16,600"
2017 Dodge,Grand Caravan Pas...,GT,"45,942 miles","17,900"
2016 Mazda,MAZDA6,i Sport,"41,492 miles","15,000"
2016 Lexus,GX,GX 460,"31,972 miles","36,700"
2018 Kia,Soul,Soul,"15,136 miles","14,900"
2017 Jaguar,XE,XE 35t Prestige,"31,716 miles","29,300"
2016 Mazda,MAZDA6,i Touring,"38,689 miles","16,200"
2016 Nissan,Pathfinder,S,"37,796 miles","19,900"
2015 Nissan,LEAF,S,"44,397 miles","11,000"
2018 Dodge,Grand Caravan Pas...,SXT,"35,592 miles","17,300"
2017 Volkswagen,Jetta,1.4T S,"56,226 miles","11,700"
2016 Buick,Enclave,Convenience,"36,949 miles","19,700"
2015 Dodge,Durango,R/T,"28,398 miles","31,300"
2018 Chevrolet,Suburban,Premier,"38,480 miles","43,800"
2014 Honda,Accord,EX,"25,098 miles","16,500"
2013 smart,fortwo,Pure Hatchback,"54,016 miles","7,000"
2015 Subaru,Outback,2.5i Limited,"35,728 miles","22,100"
2016 Ford,Fusion,SE,"57,933 miles","13,400"
2017 Jeep,Wrangler Unlimite...,Sahara,"17,803 miles","31,600"
2016 Toyota,Camry,Hybrid LE,"55,579 miles","15,800"
2016 Honda,Civic,EX,"30,940 miles","16,900"
2018 Kia,Sportage,LX,"13,797 miles","17,700"
